timestamp,idea,impact,effort,autonomy_tier,guardrail_reason,action_taken,model_used
2026-08-03T16:26:04.259026+00:00,Accounts payable spends 4 hours every Monday manually matching purchase orders t,S,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:26:04.259068+00:00,Credit control tracks overdue invoices in an offline Excel sheet that isn't sync,M,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:26:04.259081+00:00,Monthly bank reconciliations are done manually line-by-line because the banking ,L,L,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
2026-08-03T16:26:10.376639+00:00,"Department heads submit budget requests via individual email attachments, forcin",M,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:26:10.376766+00:00,Foreign currency expense conversions are calculated manually using daily spot ra,S,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:26:10.376806+00:00,Employee mileage claims require physical paper receipts to be taped to a sheet a,S,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:26:10.376817+00:00,"Fixed asset register is maintained in a standalone spreadsheet, making depreciat",M,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:26:10.376826+00:00,Intercompany transactions are manually reconciled at month-end via email chains ,L,L,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
2026-08-03T16:26:15.616037+00:00,"Corporate credit card statements are distributed as static PDFs, requiring cardh",S,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:26:15.616183+00:00,Customer refund requests require sign-offs across three different software tools,L,L,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
2026-08-03T16:26:20.813546+00:00,Password reset requests dominate the helpdesk queue because there is no self-ser,L,M,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
2026-08-03T16:26:25.882299+00:00,"Software license allocations are tracked in a static sheet, resulting in paid su",M,M,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:26:25.882441+00:00,Offboarding an employee requires IT staff to manually revoke access across 15 se,L,L,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
2026-08-03T16:26:31.185926+00:00,"System outage notifications are sent manually via email, which fails to reach us",L,M,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
2026-08-03T16:26:35.873889+00:00,Hardware inventory counts rely on annual physical audits rather than automated e,M,L,flag_for_review,Medium impact but large delivery effort — requires sign-off before committing resource.,Flagged for human review,n/a (rule-based decision only)
2026-08-03T16:26:35.874044+00:00,Local admin rights requests sit in a general ticketing queue for days because th,S,S,auto_file,Low impact/effort combination — within auto-approval guardrail.,Auto-filed to backlog,n/a (rule-based decision only)
2026-08-03T16:26:35.874084+00:00,"Security patch updates require manual deployment to individual laptops, leading ",L,L,flag_for_review,High business impact — always requires human sign-off.,Flagged for human review; draft feasibility assessment attached,claude-sonnet-5
